Date,Open,High,Low,Close      Close price adjusted for splits.,Adj Close      Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Feb 21, 2025","5,925.00","5,937.40","5,680.00","5,710.30","5,710.30","335,438"
"Feb 1, 2025","6,047.75","6,303.95","5,388.50","5,917.90","5,917.90","5,476,500"
"Jan 31, 2025",20.00 Dividend
"Jan 1, 2025","6,457.65","6,527.85","5,445.00","6,032.60","6,012.68","15,093,715"
"Dec 1, 2024","5,905.65","6,788.90","5,853.65","6,457.70","6,436.38","9,893,453"
"Nov 1, 2024","5,405.00","6,042.00","5,298.00","5,905.65","5,886.15","7,739,242"
"Oct 1, 2024","5,478.80","5,798.70","5,078.50","5,372.50","5,354.76","11,580,463"
"Sep 1, 2024","5,214.50","5,585.95","5,115.00","5,450.40","5,432.40","8,346,612"
"Aug 1, 2024","4,879.95","5,264.95","4,409.10","5,170.85","5,153.77","9,261,202"
"Jul 9, 2024",10.00 Dividend
"Jul 1, 2024","4,245.00","4,964.80","4,227.20","4,832.30","4,805.84","15,899,495"
"Jun 1, 2024","3,510.50","4,285.00","3,232.05","4,241.45","4,218.23","13,077,201"
"May 1, 2024","3,368.60","3,796.95","3,254.00","3,410.50","3,391.83","9,847,464"
"Apr 1, 2024","4,069.90","4,085.05","3,316.00","3,368.60","3,350.16","15,077,429"
"Mar 28, 2024",2:1 Stock Splits
"Mar 1, 2024","4,315.20","4,363.55","3,931.00","3,984.55","3,962.73","10,503,552"
"Feb 1, 2024","4,212.50","4,450.00","4,101.55","4,315.17","4,291.55","9,589,548"
"Jan 30, 2024",16.00 Dividend
"Jan 1, 2024","3,712.50","4,415.00","3,580.18","4,176.58","4,138.32","14,808,924"
"Dec 1, 2023","3,222.50","3,780.00","3,135.40","3,694.70","3,660.86","16,715,670"
"Nov 1, 2023","3,087.50","3,312.32","3,063.80","3,199.98","3,170.66","29,869,894"
"Oct 1, 2023","2,898.35","3,100.00","2,788.40","3,080.10","3,051.89","17,801,628"
"Sep 1, 2023","2,650.00","3,017.50","2,650.00","2,898.35","2,871.80","15,802,980"
"Aug 1, 2023","2,372.02","2,695.50","2,317.18","2,685.35","2,660.75","14,400,470"
"Jul 11, 2023",5.00 Dividend
"Jul 1, 2023","2,527.50","2,578.82","2,321.38","2,372.02","2,345.35","18,928,978"
"Jun 1, 2023","2,579.00","2,639.48","2,385.50","2,505.52","2,477.35","12,444,304"
"May 1, 2023","2,368.63","2,580.00","2,308.50","2,569.20","2,540.31","12,729,194"
"Apr 1, 2023","2,315.00","2,384.90","1,981.03","2,368.63","2,341.99","15,659,608"
"Mar 1, 2023","2,400.00","2,475.00","2,150.05","2,304.75","2,278.83","13,979,662"
"Feb 1, 2023","2,350.50","2,567.50","2,301.68","2,396.55","2,369.60","13,970,646"
"Jan 25, 2023",14.00 Dividend
"Jan 1, 2023","1,944.47","2,374.50","1,920.00","2,343.77","2,303.27","22,655,042"
"Dec 1, 2022","2,090.50","2,212.45","1,892.03","1,935.45","1,902.00","14,429,386"
"Nov 1, 2022","1,858.00","2,086.00","1,808.90","2,077.35","2,041.45","11,443,030"
"Oct 1, 2022","1,615.00","1,932.50","1,587.90","1,846.53","1,814.62","13,432,180"
"Sep 1, 2022","1,754.40","1,754.40","1,546.03","1,620.60","1,592.60","14,311,908"
"Aug 1, 2022","1,832.97","1,961.50","1,677.57","1,758.97","1,728.58","12,577,698"
"Jul 11, 2022",5.50 Dividend
"Jul 1, 2022","1,692.50","1,873.50","1,555.65","1,816.43","1,779.26","18,052,362"
"Jun 1, 2022","1,890.45","2,000.00","1,551.00","1,700.90","1,666.10","10,313,848"
"May 1, 2022","2,142.50","2,155.00","1,640.50","1,879.95","1,841.48","12,120,774"
"Apr 1, 2022","2,394.95","2,477.00","1,948.78","2,160.32","2,116.12","13,210,758"
"Mar 1, 2022","1,968.90","2,437.50","1,937.50","2,382.65","2,333.90","14,462,426"
"Feb 1, 2022","2,230.50","2,271.02","1,825.53","1,968.90","1,928.61","10,728,384"
"Jan 27, 2022",10.00 Dividend
"Jan 1, 2022","2,470.00","2,493.75","1,900.03","2,200.05","2,144.63","14,704,924"
"Dec 1, 2021","2,070.00","2,462.50","2,055.00","2,452.18","2,390.41","16,276,304"
"Nov 1, 2021","1,977.15","2,219.93","1,875.00","2,069.40","2,017.27","8,488,734"
"Oct 1, 2021","1,855.15","2,195.00","1,800.00","1,961.85","1,912.43","16,648,204"
"Sep 1, 2021","1,685.00","1,919.38","1,655.00","1,858.15","1,811.34","10,554,660"
