Date,Open,High,Low,Close      Close price adjusted for splits.,Adj Close      Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Feb 21, 2025","2,640.00","2,650.95","2,555.50","2,567.55","2,567.55","248,632"
"Feb 1, 2025","2,790.00","2,896.70","2,507.00","2,637.25","2,637.25","5,490,993"
"Jan 1, 2025","2,859.45","3,078.40","2,736.50","2,867.95","2,867.95","16,796,283"
"Dec 1, 2024","2,974.95","3,237.95","2,812.50","2,847.20","2,847.20","9,756,722"
"Nov 1, 2024","2,885.00","3,047.85","2,751.05","2,974.55","2,974.55","12,023,124"
"Oct 1, 2024","3,034.80","3,144.75","2,836.60","2,879.55","2,879.55","21,246,148"
"Sep 1, 2024","3,104.95","3,187.80","2,918.55","3,010.40","3,010.40","13,055,323"
"Aug 1, 2024","2,904.60","3,153.00","2,589.35","3,104.95","3,104.95","14,946,217"
"Jul 10, 2024",55.00 Dividend
"Jul 1, 2024","2,481.00","3,080.95","2,457.80","2,892.50","2,831.32","28,083,038"
"Jun 1, 2024","2,368.00","2,557.50","2,187.00","2,456.55","2,404.59","51,396,771"
"May 1, 2024","2,314.85","2,481.35","2,195.00","2,284.10","2,235.79","8,055,507"
"Apr 1, 2024","2,401.00","2,533.95","2,208.45","2,314.85","2,265.89","10,537,444"
"Mar 1, 2024","2,621.00","2,660.75","2,306.00","2,388.05","2,337.54","8,798,286"
"Feb 1, 2024","2,594.00","2,837.60","2,472.00","2,617.35","2,561.99","14,888,427"
"Jan 1, 2024","2,740.00","2,775.00","2,480.60","2,598.50","2,543.54","11,764,550"
"Dec 1, 2023","2,366.95","2,788.50","2,325.55","2,739.75","2,681.80","12,934,295"
"Nov 1, 2023","2,134.60","2,394.00","2,122.15","2,354.65","2,304.85","8,349,694"
"Oct 1, 2023","2,376.60","2,545.90","2,069.10","2,123.40","2,078.49","11,004,694"
"Sep 1, 2023","2,441.55","2,552.00","2,342.30","2,376.60","2,326.34","6,820,399"
"Aug 1, 2023","2,295.00","2,491.00","2,183.00","2,428.80","2,377.43","12,765,836"
"Jul 5, 2023",50.00 Dividend
"Jul 1, 2023","1,917.00","2,350.00","1,850.00","2,294.95","2,187.78","18,622,218"
"Jun 1, 2023","1,955.00","2,040.00","1,807.60","1,895.05","1,806.55","10,906,447"
"May 1, 2023","1,814.45","2,000.00","1,806.60","1,946.85","1,855.93","9,220,842"
"Apr 1, 2023","1,812.00","1,847.70","1,660.05","1,814.45","1,729.72","8,191,021"
"Mar 1, 2023","2,035.00","2,154.95","1,661.20","1,795.75","1,711.89","14,190,685"
"Feb 1, 2023","2,085.00","2,290.00","2,021.90","2,035.40","1,940.35","8,966,793"
"Jan 1, 2023","1,985.00","2,143.70","1,932.65","2,072.80","1,976.00","9,794,066"
